"race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
3,17,1,1,1,5,"CA",2,2,5,3,5,2,4,2,4,2,3,5,4,2,3,3,4,2,2,3,1,5,1,5,1,5,1,4,5,5,4,2,4,1,4,1,4,4,3,4,3,1,4,3,5,2,5,3,4,5
3,59,1,2,1,2,"CA",5,1,5,1,5,1,5,5,5,5,3,2,3,4,2,2,3,1,2,2,1,5,1,5,1,5,1,4,5,5,3,1,1,1,4,4,4,1,5,5,5,1,5,5,5,1,5,4,5,5
3,19,1,2,1,2,"CA",2,4,4,3,3,4,3,3,3,5,2,2,5,3,2,2,2,2,1,3,1,5,1,5,1,5,1,5,5,5,3,3,3,2,3,3,4,2,3,4,4,1,5,2,4,2,5,3,5,4
3,52,1,1,1,1,"CA",3,3,4,1,3,3,2,2,4,4,4,2,5,2,4,4,3,2,4,4,2,3,3,4,2,3,2,3,3,3,5,3,4,2,4,3,4,1,4,4,5,1,5,1,5,2,4,4,5,5
3,17,1,2,1,1,"CA",2,3,3,3,3,2,3,3,3,4,4,3,4,2,2,3,4,3,3,4,2,5,2,4,1,3,2,4,4,3,3,3,3,3,3,3,3,3,3,2,4,2,4,3,4,2,4,4,5,4
3,58,1,2,2,1,"CA",2,2,4,3,4,2,5,2,3,2,2,3,4,2,3,2,1,1,1,3,1,5,1,4,2,4,1,5,4,5,3,3,5,1,3,2,3,1,2,4,4,1,4,3,5,1,5,4,4,5
1,16,1,2,2,1,"CA",4,3,4,2,5,1,4,3,3,4,2,4,2,4,1,2,3,1,1,2,1,4,2,5,1,4,2,4,5,4,3,3,4,3,3,3,1,1,3,3,1,2,5,1,4,1,3,1,5,5
13,21,1,2,1,1,"CA",2,4,4,4,2,4,2,4,2,4,5,3,5,1,3,4,4,4,4,4,2,4,1,4,3,3,1,4,4,3,4,2,4,3,2,1,4,3,2,4,3,1,3,1,4,1,4,3,3,3
3,17,1,2,1,1,"CA",3,2,1,3,1,3,1,2,3,5,3,3,5,3,5,5,5,5,5,2,3,2,5,1,4,1,3,1,2,3,2,5,5,5,1,3,4,5,1,3,4,3,5,3,3,1,3,3,5,3
3,53,2,1,1,1,"CA",4,1,4,1,5,1,5,1,3,1,2,4,3,5,3,3,2,2,4,1,1,5,2,5,1,4,1,5,5,5,5,4,3,1,4,2,4,2,2,4,5,1,4,1,5,1,5,5,5,5
3,18,1,1,1,1,"CA",5,2,4,2,4,1,4,3,5,4,4,4,3,4,4,3,2,2,4,1,1,5,1,5,1,5,1,4,5,5,4,5,3,2,2,4,3,3,4,4,5,1,4,1,4,2,4,5,5,5
3,30,2,2,1,1,"CA",1,5,4,4,4,4,3,5,2,4,5,3,4,2,4,4,5,5,5,4,1,5,1,4,1,4,1,4,4,5,5,2,5,1,4,1,5,1,5,5,4,1,5,2,4,1,5,4,5,4
3,34,2,1,1,5,"CA",2,3,4,2,2,2,1,5,3,5,3,4,4,3,3,3,3,2,4,2,1,5,1,4,2,4,2,5,4,4,4,3,4,2,3,3,4,4,4,4,4,2,5,2,4,2,4,3,4,4
0,37,1,2,1,2,"CA",1,3,5,2,5,2,4,5,5,2,1,4,1,1,1,1,1,1,1,1,1,5,1,5,1,4,1,5,4,5,4,1,5,1,5,1,5,1,5,5,5,1,2,2,4,2,5,3,5,5
3,37,1,1,1,1,"CA",4,1,5,1,5,1,5,1,5,1,4,3,3,3,2,3,3,3,3,2,1,5,1,5,1,4,1,5,5,5,4,4,5,2,3,4,5,2,3,3,5,2,4,3,4,1,5,5,5,5
6,49,1,2,1,1,"CA",3,2,3,4,4,3,2,4,2,3,4,2,4,2,4,3,4,4,4,4,1,4,2,4,2,2,2,4,4,4,4,4,3,3,2,2,4,2,3,3,3,3,3,3,3,2,3,3,4,4
3,18,2,2,1,1,"CA",1,5,2,5,1,5,1,5,1,5,5,1,4,1,1,1,2,3,5,5,5,1,1,1,5,1,5,1,1,1,5,3,3,2,3,2,3,2,4,3,3,2,1,1,1,5,2,2,3,1
3,27,1,2,1,1,"CA",4,1,5,1,4,1,4,1,5,2,4,3,4,2,3,4,3,2,4,3,1,4,1,4,2,5,1,4,4,4,3,3,4,2,3,4,3,2,4,4,5,2,4,3,4,1,4,4,4,4
3,17,1,1,2,2,"CA",4,1,5,1,5,1,5,2,5,2,1,4,3,4,2,1,2,2,2,2,2,5,1,3,2,2,1,5,5,4,5,1,5,1,4,2,3,3,3,2,4,1,4,1,5,1,5,3,3,5
4,17,1,2,1,5,"CA",1,2,5,4,4,2,3,5,1,3,4,3,4,3,4,5,2,1,5,2,1,5,2,5,2,5,2,5,5,3,4,2,5,5,2,4,4,2,4,4,4,4,3,2,3,2,2,1,5,3
3,16,1,1,1,5,"CA",3,3,4,2,3,3,5,4,5,2,2,5,3,2,1,2,3,2,2,2,1,4,2,4,1,4,1,5,4,3,3,1,3,1,4,2,3,2,3,2,2,3,2,3,3,4,3,3,1,4
3,17,1,2,1,5,"CA",4,1,5,1,5,1,5,1,5,1,4,5,4,1,5,5,3,4,5,4,4,4,2,4,2,2,1,5,3,2,2,1,3,3,5,4,5,3,5,2,1,1,3,2,3,2,4,1,1,5
3,17,1,2,1,5,"CA",1,3,3,4,2,2,1,3,2,4,3,5,2,5,4,3,2,1,1,2,2,4,1,5,3,5,3,1,2,4,4,5,4,1,1,4,5,3,2,5,5,1,5,1,5,1,5,5,5,5
3,20,1,2,1,1,"CA",1,5,2,5,1,4,1,4,3,5,4,2,5,2,1,2,4,2,2,4,2,3,2,5,4,4,4,4,2,2,2,5,5,4,2,5,4,4,2,4,5,1,5,1,5,1,5,5,5,5
3,20,1,2,1,2,"CA",3,2,5,2,4,2,5,2,4,1,2,4,3,4,2,3,4,3,1,2,2,5,1,5,1,4,1,5,5,5,3,1,5,1,4,1,4,2,5,5,5,3,3,2,3,3,4,4,5,5
3,20,1,2,1,2,"CA",2,3,2,4,2,4,2,2,2,5,2,4,4,4,1,2,2,2,2,2,3,5,4,3,3,3,2,2,2,2,4,4,2,4,2,4,3,2,4,4,4,2,2,3,3,4,5,3,5,2
6,20,1,2,1,5,"CA",2,3,4,4,4,3,4,5,1,5,4,3,4,3,1,3,3,3,2,3,5,5,1,5,1,5,1,5,5,5,4,4,5,3,3,4,4,2,4,3,5,3,5,3,4,1,3,4,4,4
3,17,2,1,1,1,"CA",4,2,4,2,5,1,2,2,5,2,4,4,5,2,2,4,2,2,4,4,5,3,2,5,2,4,3,4,5,5,4,5,5,4,2,2,2,4,2,3,5,1,5,1,5,1,5,5,5,5
1,13,1,2,1,2,"CA",1,3,3,4,4,3,1,5,2,5,4,3,1,2,3,1,1,1,3,3,1,2,2,4,1,2,3,4,2,3,4,2,4,3,2,1,1,1,3,4,3,2,5,2,3,1,5,1,3,3
3,45,1,1,2,1,"CA",3,2,4,4,4,2,4,4,2,2,4,4,4,2,4,4,5,5,4,4,1,5,4,5,1,5,1,5,5,5,4,4,4,2,4,4,4,2,4,4,5,2,5,2,5,1,4,4,4,5
3,22,1,2,1,2,"CA",3,2,4,3,3,2,2,2,5,4,2,4,4,4,2,2,2,1,2,2,1,4,2,4,4,4,3,4,5,4,4,1,5,1,4,1,5,1,3,4,3,2,5,1,4,4,5,3,4,5
11,21,1,2,2,2,"CA",1,2,4,3,4,2,2,4,2,5,1,5,2,5,1,2,2,1,2,1,2,5,4,3,3,1,1,4,2,4,3,3,4,1,1,1,3,1,3,2,4,3,1,4,4,4,5,4,1,2
3,24,1,2,1,1,"CA",3,3,3,3,4,2,5,4,4,4,4,2,5,2,3,3,4,4,2,4,1,5,2,5,2,4,1,4,4,4,3,4,4,3,2,1,5,4,4,4,4,2,5,2,3,1,4,3,5,4
3,57,1,2,2,2,"CA",3,2,5,3,4,2,4,4,3,2,1,5,2,4,2,1,1,1,2,1,1,5,1,5,1,3,1,3,5,5,4,3,4,1,3,5,5,1,5,4,5,1,5,1,4,1,5,5,5,4
3,40,1,2,1,2,"CA",2,5,3,4,2,3,1,4,2,5,4,2,4,3,5,4,4,3,4,3,4,4,2,3,3,2,3,3,4,2,4,2,4,1,1,5,4,1,2,5,4,3,4,1,5,1,4,2,5,5
3,37,1,1,1,1,"CA",2,2,1,5,3,4,2,4,1,5,5,2,5,2,5,5,5,5,5,3,4,1,5,4,5,5,1,2,4,2,2,5,5,5,1,2,2,5,1,4,5,1,5,1,5,1,5,5,5,5
3,19,1,1,1,1,"CA",1,4,1,4,1,1,2,4,4,5,4,2,4,2,4,3,4,2,5,4,4,4,2,4,5,4,4,2,4,3,3,4,4,3,3,3,5,4,3,3,4,5,5,2,3,1,3,4,5,5
5,15,1,1,1,1,"CA",4,2,5,2,4,2,5,2,5,3,1,4,2,5,2,2,2,2,2,1,2,5,2,3,3,3,2,3,2,5,4,3,5,2,5,2,4,2,3,4,3,2,4,3,4,2,5,3,4,5
8,22,2,2,3,1,"CA",3,2,1,2,4,1,5,3,4,4,3,4,4,2,1,3,5,3,5,3,2,2,5,1,5,1,1,1,1,5,5,3,1,4,5,1,5,1,5,5,4,1,5,2,5,1,5,5,2,5
3,60,1,2,1,2,"CA",4,2,4,2,4,1,4,2,4,2,2,3,3,3,2,2,3,2,2,2,1,5,1,5,1,4,1,4,5,5,2,3,3,1,3,2,3,2,3,3,5,1,5,1,5,1,5,5,5,5
3,56,1,1,1,1,"CA",2,2,4,1,2,1,1,2,4,4,2,3,3,4,5,4,3,4,4,3,1,4,2,5,1,5,1,5,4,4,3,4,5,1,3,1,5,1,3,5,5,1,4,1,5,1,5,2,5,5
13,18,1,2,1,1,"CA",4,3,2,1,5,3,4,3,3,5,5,3,5,5,4,5,5,5,2,5,1,2,2,5,1,5,3,4,5,4,3,2,3,5,2,2,3,3,5,5,1,5,5,1,4,1,3,2,4,5
3,38,1,2,1,2,"CA",4,5,5,3,5,3,3,4,4,3,3,4,4,3,2,3,2,2,2,2,1,4,1,4,5,4,4,5,4,4,5,1,5,1,4,1,5,1,5,5,3,2,3,2,2,3,4,2,4,2
3,35,1,2,1,1,"CA",4,1,4,3,5,1,5,5,5,1,1,5,1,3,1,1,3,1,3,2,4,3,4,3,4,4,3,3,1,2,2,5,3,3,1,5,3,3,1,3,5,1,5,1,5,1,5,5,3,5
3,51,1,1,1,2,"CA",2,1,2,3,5,1,2,5,1,3,5,2,5,5,5,4,3,3,5,1,1,4,2,5,1,5,2,5,5,4,5,3,3,4,2,4,4,4,2,3,5,1,5,1,5,1,5,5,5,5
3,20,1,1,1,1,"CA",4,1,4,3,4,1,5,2,4,2,2,3,2,2,2,3,3,3,2,1,3,4,4,2,2,3,2,4,3,4,4,4,4,2,3,4,3,2,2,4,3,2,5,4,5,5,4,3,4,5
11,26,1,1,1,2,"CA",4,2,4,2,4,2,4,2,4,2,1,4,2,5,1,2,1,1,3,2,3,2,2,2,4,1,3,4,1,3,4,2,4,2,4,1,4,1,4,4,5,1,4,1,4,1,4,5,4,4
3,48,1,2,1,1,"CA",2,1,4,1,5,1,4,3,5,5,3,5,4,2,2,3,2,1,4,4,2,5,4,5,2,5,2,5,4,5,2,5,3,3,2,5,5,2,2,2,5,1,3,1,5,1,5,5,1,5
3,16,1,2,1,2,"CA",2,4,5,4,3,4,2,4,4,5,4,2,3,4,4,4,4,2,4,4,3,4,1,4,1,3,2,4,4,3,4,3,4,4,2,5,4,4,4,3,3,2,3,2,4,2,5,2,3,4
3,57,1,1,1,1,"CA",1,5,2,5,2,5,1,5,1,5,1,5,2,5,1,1,1,1,1,1,1,5,1,3,3,4,3,3,4,2,4,2,5,1,3,1,5,1,5,5,5,1,5,1,5,2,5,3,5,5
3,56,1,2,1,1,"CA",2,3,2,2,3,2,4,4,1,3,4,3,5,2,2,2,3,2,4,3,2,4,1,4,2,4,2,3,4,3,3,4,5,2,2,2,4,4,1,5,5,1,4,2,5,2,5,4,3,5
3,30,1,1,1,1,"CA",3,3,3,3,3,2,3,3,3,3,1,5,4,3,2,1,2,1,4,4,1,4,3,4,2,4,3,5,4,5,5,1,5,1,4,1,4,1,4,4,5,2,5,2,5,1,5,4,5,5
8,14,1,1,1,1,"CA",5,1,5,1,5,1,5,1,5,5,1,5,1,5,1,3,5,5,5,1,1,5,1,5,5,5,5,1,5,5,5,1,5,1,1,1,5,1,5,5,5,1,5,1,5,1,5,5,5,5
3,15,1,2,1,1,"CA",3,3,2,5,3,4,1,5,1,4,5,3,5,3,2,4,4,4,4,2,1,1,1,5,1,5,2,4,4,3,2,5,4,5,1,4,4,4,4,3,4,3,4,1,2,2,3,4,2,2
3,15,1,1,1,1,"CA",1,5,2,5,1,5,1,5,1,5,2,4,3,5,2,1,1,1,3,1,3,4,1,3,2,3,3,2,1,2,4,1,4,1,5,1,5,1,4,3,4,4,1,5,4,5,5,4,4,4
3,16,1,1,1,1,"CA",2,3,3,4,2,3,1,5,2,5,4,4,5,3,2,4,3,2,4,2,2,2,1,3,2,2,3,2,3,2,2,3,4,4,2,5,4,3,5,4,4,2,3,2,4,3,3,3,4,4
13,15,1,1,1,1,"CA",1,3,1,5,3,2,1,2,1,5,5,2,5,5,5,5,2,2,5,5,5,3,5,5,1,5,1,4,5,5,3,1,3,5,5,5,3,1,3,5,5,1,5,3,5,1,4,5,5,5
13,15,1,1,1,1,"CA",1,5,2,5,2,5,1,5,1,5,5,1,5,3,5,5,5,5,5,5,4,2,5,2,4,5,5,5,1,3,1,3,4,5,1,2,3,5,1,5,4,5,4,5,5,1,5,3,5,4
6,15,1,1,1,1,"CA",3,3,3,5,2,4,1,2,2,5,4,4,4,2,1,4,3,3,5,4,2,4,4,5,2,4,2,3,4,4,4,5,5,5,3,4,5,4,3,5,5,3,5,3,5,2,5,5,4,5
3,16,1,2,1,1,"CA",3,3,4,3,4,2,4,4,4,3,3,3,3,2,3,3,4,3,2,2,2,4,2,4,2,4,2,4,4,4,4,2,5,2,3,2,3,2,4,5,4,2,3,3,4,2,5,3,4,5
3,15,1,1,1,1,"CA",4,2,4,2,2,2,3,3,4,4,3,4,4,2,3,3,4,3,3,3,4,5,3,3,3,3,2,4,4,3,3,4,4,3,2,3,4,4,4,4,4,3,5,3,4,1,4,4,4,5
13,17,1,1,1,1,"CA",1,5,5,4,5,5,1,1,5,1,1,5,4,1,5,4,5,5,5,1,5,5,5,5,1,5,2,5,5,5,2,5,1,5,1,3,4,4,2,5,5,3,5,5,5,1,4,5,5,5
6,17,1,1,1,1,"CA",4,1,2,3,1,3,2,3,3,3,1,5,5,5,1,1,2,3,1,1,5,4,1,5,1,5,3,5,5,3,2,3,1,4,3,4,1,3,1,2,1,4,5,2,3,1,3,1,3,3
3,16,1,1,3,1,"CA",5,4,4,5,4,4,4,3,4,5,3,4,5,4,1,3,3,1,4,1,2,4,2,3,1,5,1,4,5,3,4,3,3,3,3,4,3,2,3,3,5,2,4,1,5,1,4,5,5,4
8,15,1,1,1,1,"CA",3,2,3,4,1,4,2,1,3,4,5,3,3,3,5,4,5,4,3,4,4,3,3,3,3,3,3,4,4,3,3,4,2,5,2,5,1,3,2,2,1,3,5,3,3,1,1,2,2,5
3,15,1,2,1,1,"CA",1,5,1,5,1,5,1,4,1,5,5,1,5,2,2,4,4,4,4,4,1,2,1,5,1,5,2,4,3,2,1,4,2,4,1,4,4,3,4,2,4,2,4,2,2,2,4,3,2,4
2,999999999,2,3,3,1,"CA",5,1,5,1,5,1,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,5,5,5,5,1,1,5,5,1,5,5,5,5,5,1,5,1,5,5,5,5
13,15,1,1,1,1,"CA",2,4,2,3,4,3,3,2,5,5,3,5,5,1,1,1,3,3,2,3,1,4,3,5,1,4,2,5,3,3,2,3,3,3,1,5,2,4,2,3,2,1,1,1,2,1,3,2,5,5
0,17,1,2,1,2,"CA",4,3,3,3,2,3,2,3,3,4,5,2,5,3,2,1,2,2,2,3,2,3,3,2,2,2,3,3,5,5,3,2,5,3,2,3,2,4,3,3,2,3,4,2,2,1,3,3,3,4
6,15,1,1,2,1,"CA",2,5,3,4,2,2,2,3,4,5,3,4,4,3,3,2,2,2,2,2,4,5,3,4,2,4,2,4,4,3,4,4,4,3,2,2,4,2,3,4,4,2,3,2,4,2,4,4,4,4
3,24,1,2,1,2,"CA",2,2,3,4,4,2,1,4,2,3,3,4,4,4,4,2,1,1,2,2,2,2,3,1,4,3,4,3,1,2,5,2,4,2,4,1,5,2,5,3,5,1,5,1,5,1,5,5,4,5
1,17,1,1,1,1,"CA",4,5,4,4,4,2,4,2,4,4,2,2,4,3,2,2,4,4,4,3,1,5,4,5,1,4,1,4,4,4,2,5,4,2,2,4,2,3,2,2,4,2,4,2,4,4,4,4,5,4
3,27,1,2,1,1,"CA",3,3,5,4,4,2,2,5,2,5,2,4,3,2,2,3,2,3,3,2,1,4,1,4,1,3,2,5,3,5,3,5,3,2,1,5,2,3,4,2,2,2,4,4,4,3,5,2,5,3
3,16,1,2,1,1,"CA",4,2,4,2,4,2,4,3,4,3,5,3,4,3,4,5,3,2,2,3,1,5,1,5,1,5,2,4,5,4,3,2,4,2,4,3,3,2,3,4,5,1,5,2,5,1,5,5,4,5
13,35,1,2,1,1,"CA",1,5,5,5,3,2,2,5,1,4,3,5,5,2,4,2,2,2,2,2,1,5,1,5,3,5,1,3,4,5,4,1,4,1,3,1,4,1,4,3,5,2,4,1,3,2,5,5,5,2
3,48,1,2,1,1,"CA",2,3,3,2,4,3,2,4,2,4,2,4,2,2,3,3,3,2,3,2,1,4,3,4,1,4,1,4,4,3,1,5,1,3,1,5,2,4,2,1,3,1,2,2,3,4,3,2,4,4
3,21,1,1,3,1,"CA",3,2,4,3,4,3,4,3,4,3,1,5,1,5,1,1,1,1,2,1,1,1,5,1,1,1,5,2,1,4,4,2,5,3,1,4,4,4,3,3,4,2,5,3,5,1,5,5,1,5
3,44,1,2,1,1,"CA",1,5,3,4,2,4,2,5,2,5,4,3,4,4,3,3,3,2,4,2,2,4,3,4,2,5,2,4,4,3,4,4,4,3,4,2,4,2,4,4,4,2,3,2,4,2,4,2,5,4
8,15,1,2,1,1,"CA",2,4,3,3,3,4,3,4,2,4,4,5,5,3,4,4,5,5,4,3,1,4,4,4,2,4,1,4,5,4,3,3,5,3,3,4,3,2,4,4,2,3,5,2,3,4,2,3,4,3
11,20,1,2,1,2,"CA",4,1,5,1,5,1,5,1,4,2,4,3,4,2,2,2,4,3,3,2,1,5,2,5,1,3,1,5,5,5,2,3,4,1,3,2,4,2,5,4,2,3,5,2,4,2,4,2,5,4
13,41,1,2,1,1,"CA",3,4,2,3,2,4,2,3,2,5,4,2,5,1,4,4,5,5,5,5,2,2,2,4,5,3,4,1,5,3,2,3,3,4,2,2,4,2,4,5,4,4,3,3,4,2,4,2,5,5
3,19,1,2,2,1,"CA",1,3,1,5,1,4,2,3,1,5,2,5,3,3,2,3,4,3,4,2,1,1,1,5,4,3,4,4,4,2,3,5,4,4,1,5,4,2,2,3,4,2,4,2,4,2,5,4,5,4
6,24,1,1,1,1,"CA",4,3,3,2,5,2,5,2,5,3,1,4,1,4,2,1,4,4,5,2,4,4,4,1,5,1,4,1,2,4,2,5,4,3,3,3,2,2,1,4,4,4,4,4,5,3,5,4,4,5
11,20,1,1,1,1,"CA",1,5,1,5,2,4,2,5,1,5,5,2,5,2,2,1,3,3,1,4,3,1,1,2,2,4,4,4,2,3,5,2,5,2,3,2,5,3,5,4,2,1,3,1,4,2,4,3,4,3
3,18,1,1,1,1,"CA",1,4,2,5,2,2,1,5,3,5,2,3,4,2,2,2,3,1,1,3,3,2,3,3,1,1,3,4,2,3,4,1,4,1,2,1,5,1,4,3,2,4,4,4,4,1,3,2,4,4
3,40,1,2,2,1,"CA",3,1,5,2,5,1,4,5,1,1,1,5,4,5,1,1,1,1,1,1,5,1,2,1,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,2,4,1,5,1,4,3,5,4
3,15,1,2,1,2,"CA",1,5,1,5,2,4,4,4,1,5,5,3,5,2,4,4,4,5,4,4,1,2,1,5,1,5,1,4,4,3,2,5,4,4,2,4,2,4,3,2,3,2,3,1,2,2,4,3,2,2
13,16,2,2,1,2,"CA",3,1,4,3,4,1,5,4,3,1,4,3,4,1,2,2,1,1,2,2,3,4,1,3,1,4,1,4,4,4,3,1,4,1,3,2,3,2,3,3,2,3,3,2,3,3,4,1,3,4
3,15,0,2,1,2,"CA",1,4,1,5,1,4,1,5,1,4,5,4,5,2,4,4,4,4,4,4,1,2,1,3,2,4,2,3,3,2,2,4,2,4,2,4,3,3,3,2,3,2,4,2,3,2,4,3,4,2
3,15,1,2,1,2,"CA",1,4,1,5,1,5,1,5,1,5,5,1,5,4,4,4,4,4,4,4,1,2,1,3,1,5,2,4,2,2,1,4,3,4,2,4,4,3,3,3,3,2,4,2,2,2,3,3,2,3
13,36,2,2,1,1,"CA",2,4,4,4,4,3,1,5,1,5,2,4,4,4,3,4,1,1,2,1,1,4,1,5,3,5,2,4,5,5,5,1,5,1,5,1,5,1,5,5,3,4,4,4,4,4,5,4,5,4
8,19,1,2,1,2,"CA",1,4,4,5,2,1,1,5,2,5,2,4,2,2,2,2,2,2,2,4,1,5,1,4,1,4,2,4,4,4,2,4,4,5,2,4,3,3,1,2,5,2,4,2,4,1,5,4,5,4
3,52,1,2,1,5,"CA",4,1,5,2,4,1,4,3,2,4,5,4,5,3,4,5,2,2,5,2,1,5,1,4,2,5,1,4,4,4,3,5,5,3,1,5,2,4,2,2,5,3,5,4,4,1,4,5,5,4
3,18,1,2,2,1,"CA",4,2,5,2,5,1,4,2,4,3,4,4,4,2,3,2,3,3,4,2,3,4,3,4,2,4,2,4,2,5,3,4,3,3,2,3,4,2,4,3,5,1,5,1,5,1,4,5,5,5
3,16,2,2,1,5,"CA",2,3,3,1,4,3,2,2,4,5,3,5,4,3,2,3,4,4,2,3,1,4,1,5,2,3,1,5,5,2,3,4,4,3,3,2,4,2,3,3,3,1,5,1,5,1,4,2,3,5
3,34,1,2,1,2,"CA",3,3,4,3,2,3,3,4,4,5,2,4,2,5,3,3,2,2,3,2,1,4,3,4,2,4,2,3,3,3,4,4,3,2,2,3,3,1,4,3,4,2,4,2,3,2,4,2,3,4
3,52,1,2,1,2,"CA",3,2,4,2,4,2,4,3,4,3,4,4,5,3,3,1,1,1,2,3,1,2,1,4,2,5,2,4,4,5,4,1,4,1,5,1,4,1,4,5,3,4,4,2,4,1,4,2,2,4
3,27,2,1,2,2,"CA",3,2,4,2,4,2,4,4,4,3,3,4,3,3,2,2,3,2,2,2,4,5,2,4,2,4,2,4,4,4,3,3,3,3,3,3,3,3,3,3,4,2,3,2,3,2,4,2,4,3
3,18,2,1,1,2,"CA",1,5,3,5,2,4,1,4,3,3,1,5,1,3,2,1,2,1,1,4,3,2,1,1,5,2,5,2,5,4,4,5,5,2,1,5,1,5,1,4,4,1,5,1,5,1,5,4,5,5
3,17,1,2,1,5,"CA",4,2,2,3,4,2,4,2,4,5,5,2,5,1,4,5,5,5,5,5,3,4,2,2,4,5,3,1,2,4,4,4,4,4,2,4,5,3,5,5,5,4,5,3,5,1,1,5,5,5
3,23,1,2,1,1,"CA",2,2,5,3,4,1,3,4,2,3,1,5,2,5,1,1,1,1,1,1,1,5,1,5,1,4,1,5,5,5,4,3,4,1,4,1,2,1,3,4,5,1,5,1,4,2,5,2,5,5
11,15,1,2,1,1,"CA",1,5,2,5,2,4,1,5,2,5,4,3,4,1,2,1,5,4,4,5,2,4,1,4,1,3,2,5,2,2,5,2,4,2,2,2,4,2,4,5,4,1,4,1,3,2,5,3,5,3
3,23,1,1,1,2,"CA",2,3,3,3,5,4,2,5,2,2,4,2,5,1,2,4,5,5,3,5,2,5,1,4,2,3,2,4,4,2,3,4,4,4,2,4,4,3,2,3,5,3,5,2,3,2,3,5,4,3
3,37,1,2,1,2,"CA",4,1,5,2,5,1,4,2,4,2,3,3,4,4,4,2,2,2,2,2,1,5,2,5,1,5,1,4,5,4,2,4,3,3,2,4,2,2,3,2,5,2,5,1,4,1,5,5,4,5
6,45,1,2,1,2,"CA",4,2,4,3,3,2,3,5,2,4,3,3,4,2,3,3,3,2,3,2,1,4,3,5,2,4,2,5,5,4,4,4,5,3,2,2,3,2,3,4,3,3,4,3,3,2,4,3,5,3
3,15,1,2,1,1,"CA",1,2,3,2,4,2,4,4,3,5,2,4,2,2,4,1,4,4,3,1,1,2,1,3,1,3,2,3,4,3,4,1,5,3,5,2,3,3,3,3,3,2,2,4,3,1,2,3,1,5
11,15,1,2,1,1,"CA",2,3,3,4,3,3,3,4,3,4,5,2,5,3,3,4,4,3,4,3,2,4,2,4,2,4,2,3,3,3,5,3,4,2,5,2,5,2,4,5,3,3,4,3,3,2,4,3,4,3
3,15,1,1,1,1,"CA",3,3,3,4,2,4,4,4,2,2,4,5,2,5,2,2,3,2,2,2,1,4,2,5,1,4,2,4,4,2,2,4,2,3,2,5,1,4,2,3,5,3,5,3,4,1,5,4,3,4
11,15,2,1,1,1,"CA",3,4,4,4,2,4,2,4,2,5,4,2,4,4,4,3,2,3,4,4,4,3,2,4,3,4,3,3,4,3,2,2,3,3,4,4,4,3,3,2,2,3,4,3,3,3,4,2,4,3
3,23,1,2,1,1,"CA",3,1,5,2,4,2,5,4,5,2,5,2,4,2,3,5,4,4,4,3,1,5,2,4,1,5,2,5,5,4,4,3,4,2,2,3,4,2,5,4,2,3,2,3,4,5,4,4,3,3
0,16,1,2,1,1,"CA",1,4,5,3,4,2,3,3,2,5,3,4,4,3,3,3,4,3,2,1,1,5,2,5,2,4,2,5,4,3,4,3,4,3,2,3,3,3,5,3,2,3,5,2,3,2,3,2,3,4
3,15,1,1,1,1,"CA",3,2,4,3,2,2,3,3,2,4,2,3,4,3,2,4,4,3,3,2,4,4,4,2,4,3,2,4,3,3,4,4,3,3,2,2,3,4,4,4,4,4,5,4,4,1,4,4,5,5
3,17,1,1,1,1,"CA",3,2,4,2,5,1,2,2,4,4,4,4,3,3,2,2,2,3,5,3,3,4,1,2,3,3,3,3,2,4,3,5,4,3,1,2,3,4,2,3,2,2,4,1,4,1,4,2,2,5
13,25,2,1,1,1,"CA",5,2,5,2,5,1,5,2,2,3,2,5,3,1,1,2,2,2,1,1,1,5,1,5,1,4,1,5,5,5,5,1,5,1,5,1,5,1,5,5,4,1,5,1,5,1,5,2,3,5
9,15,2,1,1,1,"CA",3,4,4,3,3,2,3,3,3,3,2,2,4,2,2,2,3,2,2,4,4,4,1,3,2,4,2,3,4,3,3,2,4,2,3,2,4,2,4,3,2,2,4,2,4,2,3,2,4,4
3,20,1,2,1,2,"CA",4,1,5,2,5,1,5,3,4,1,2,3,4,4,2,2,2,1,2,1,1,5,1,5,1,5,1,4,5,5,4,5,5,3,4,4,5,1,5,5,3,2,2,3,4,3,4,4,4,5
1,18,1,1,1,1,"CA",2,3,4,3,3,3,3,4,4,4,1,4,2,4,2,1,2,2,2,2,1,3,2,4,2,4,2,4,3,3,3,4,4,2,1,3,3,3,2,3,4,2,4,2,3,2,4,3,3,4
3,21,1,2,1,2,"CA",1,5,1,5,1,5,1,5,1,5,4,3,4,2,3,3,3,3,4,4,2,3,1,5,2,4,2,3,3,3,3,1,5,1,2,2,5,2,2,5,5,2,5,1,5,1,2,5,5,5
8,49,1,2,1,1,"CA",1,1,5,5,3,3,1,5,1,5,1,5,3,1,1,1,3,4,1,1,1,5,1,5,1,5,1,5,4,3,2,1,5,1,5,1,5,1,3,4,1,5,1,1,1,5,1,1,5,3
